Frame,Saliency_xcoord,Saliency_ycoord
1634,530,428
1635,196,426
1636,196,426
1637,196,426
1638,196,426
1639,196,426
1640,196,426
1641,196,426
1642,196,426
1643,196,426
1644,196,426
1645,196,426
1646,196,426
1647,196,426
1648,196,426
1649,429,427
1650,429,427
1651,429,427
1652,429,427
1653,437,427
1654,470,427
1655,449,426
1656,449,426
1657,449,426
1658,449,426
1659,389,426
1660,389,426
1661,389,426
1662,389,426
1663,389,426
1664,389,426
1665,389,426
1666,409,47
1667,366,205
1668,366,205
1669,366,205
1670,366,205
1671,366,205
1672,366,205
1673,434,5
1674,434,6
1675,434,6
1676,434,6
1677,434,6
1678,437,6
1679,437,6
1680,321,158
1681,435,6
1682,434,6
1683,434,7
1684,434,6
1685,435,6
1686,435,6
1687,434,6
1688,321,158
1689,434,6
1690,434,6
1691,434,6
1692,434,6
1693,434,6
1694,434,6
1695,434,6
1696,434,6
1697,434,6
1698,434,6
1699,434,6
1700,320,159
1701,320,159
1702,320,159
1703,320,159
1704,320,159
1705,433,6
1706,327,160
1707,327,160
1708,327,160
1709,327,160
1710,327,160
1711,428,6
1712,322,156
1713,438,15
1714,438,15
1715,434,13
1716,319,153
1717,319,153
1718,317,153
1719,429,8
1720,429,8
1721,435,15
1722,436,14
1723,441,21
1724,441,21
1725,441,21
1726,441,21
1727,441,21
1728,441,21
1729,441,21
1730,441,21
1731,441,21
1732,441,21
1733,441,21
1734,441,21
1735,349,156
1736,189,266
1737,256,377
1738,256,377
1739,256,377
1740,455,428
1741,455,428
1742,455,428
1743,186,354
1744,186,354
1745,173,364
1746,173,364
1747,173,364
1748,173,364
1749,207,427
1750,207,427
1751,207,427
1752,207,427
1753,207,427
1754,207,427
1755,419,286
1756,391,373
1757,403,272
1758,403,272
1759,402,411
1760,402,411
1761,404,289
1762,404,289
1763,404,289
1764,412,232
1765,408,225
1766,408,225
1767,408,225
1768,408,225
1769,408,225
1770,408,225
1771,408,225
1772,408,225
1773,408,225
1774,412,199
1775,413,199
1776,386,97
1777,413,199
1778,413,199
1779,389,97
1780,390,97
1781,389,97
1782,389,97
1783,389,97
1784,387,97
1785,377,113
1786,379,92
1787,367,94
1788,367,94
1789,367,94
1790,405,367
1791,405,347
1792,405,347
1793,405,347
1794,405,347
1795,405,347
1796,410,386
1797,410,386
1798,406,428
1799,406,428
1800,406,428
1801,406,428
1802,406,428
1803,406,428
1804,273,285
1805,273,285
1806,273,285
1807,273,285
1808,273,285
1809,307,386
1810,265,293
1811,265,293
1812,265,293
1813,204,297
1814,204,297
1815,204,297
1816,204,297
1817,204,297
1818,204,297
1819,204,297
1820,204,297
1821,204,297
1822,195,293
1823,648,428
1824,195,298
1825,556,302
1826,555,320
1827,660,428
1828,671,426
1829,671,426
1830,678,427
1831,682,427
1832,683,427
1833,683,428
1834,548,315
1835,672,427
1836,672,427
1837,672,427
1838,672,427
1839,530,312
1840,469,317
1841,420,319
1842,420,319
1843,420,319
1844,251,274
1845,187,379
1846,452,258
1847,452,258
1848,452,258
1849,452,258
1850,314,373
1851,306,364
1852,165,409
1853,165,409
1854,165,409
1855,165,409
1856,760,428
1857,5,362
1858,5,362
1859,3,423
1860,3,423
1861,375,428
1862,375,428
1863,205,425
1864,205,425
1865,205,425
1866,205,425
1867,205,425
1868,495,428
1869,294,427
1870,294,427
1871,294,427
1872,72,341
1873,72,341
1874,13,320
1875,13,320
1876,13,320
1877,13,320
1878,13,320
1879,13,320
1880,13,320
1881,351,322
1882,351,322
1883,351,322
1884,27,427
1885,5,427
1886,15,331
1887,15,331
1888,6,279
1889,6,279
1890,6,279
1891,606,291
1892,489,269
1893,754,125
1894,526,325
1895,526,325
1896,526,325
1897,761,420
1898,761,420
1899,512,428
1900,512,428
1901,492,402
1902,151,358
1903,151,358
1904,151,358
1905,151,358
1906,151,358
1907,151,358
1908,151,358
1909,131,344
1910,470,398
1911,470,398
1912,470,398
1913,115,345
1914,115,345
1915,121,345
1916,121,345
1917,121,345
1918,121,345
1919,445,409
1920,445,409
1921,161,398
1922,441,408
1923,441,408
1924,441,408
1925,441,408
1926,478,273
1927,451,273
1928,313,289
1929,305,288
1930,302,290
1931,293,283
1932,283,275
1933,283,275
1934,268,262
1935,268,262
1936,268,262
1937,294,426
1938,294,426
1939,294,426
1940,294,426
1941,294,426
1942,294,426
1943,294,426
1944,294,426
1945,294,426
1946,294,426
1947,408,300
1948,408,300
1949,408,300
1950,408,300
1951,408,300
1952,408,300
1953,408,300
1954,408,300
1955,408,300
1956,523,7
1957,523,7
1958,523,7
1959,523,7
1960,523,7
1961,523,7
1962,401,43
1963,396,64
1964,396,64
1965,396,64
1966,396,64
1967,396,64
1968,396,64
1969,252,427
1970,252,427
1971,252,427
1972,252,427
1973,252,427
1974,368,371
1975,368,371
1976,378,372
1977,378,372
1978,304,428
1979,419,339
1980,421,337
1981,421,337
1982,421,337
1983,421,337
1984,421,337
1985,421,337
1986,421,337
1987,421,337
1988,421,337
1989,421,337
1990,421,337
1991,421,337
1992,421,337
1993,421,337
1994,354,277
1995,354,277
1996,354,277
1997,354,277
1998,354,277
1999,354,277
2000,354,277
2001,354,277
2002,354,277
2003,100,373
2004,100,373
2005,100,373
2006,309,427
2007,479,126
2008,479,126
2009,479,126
2010,479,126
2011,479,126
2012,479,126
2013,489,26
2014,489,26
2015,472,6
2016,472,6
2017,472,6
2018,506,59
2019,506,59
2020,370,346
2021,392,353
2022,392,353
2023,392,353
2024,392,353
2025,392,353
2026,392,353
2027,198,333
2028,527,353
2029,530,345
2030,534,345
2031,534,345
2032,534,345
2033,139,377
2034,79,391
2035,78,391
2036,72,394
2037,98,423
2038,227,373
2039,227,373
2040,227,373
2041,227,373
2042,227,373
2043,514,348
2044,514,348
2045,514,348
2046,514,348
2047,8,314
2048,8,314
2049,28,358
2050,28,358
2051,28,358
2052,28,358
2053,28,358
2054,28,358
2055,112,340
2056,112,340
2057,388,4
2058,388,4
2059,388,4
2060,10,425
2061,447,139
2062,447,139
2063,447,139
2064,447,139
2065,447,139
2066,447,139
2067,4,416
2068,747,416
2069,747,416
2070,405,341
2071,151,428
2072,151,428
2073,151,428
2074,151,428
2075,151,428
2076,151,428
2077,151,428
2078,151,428
2079,151,428
2080,151,428
2081,151,428
2082,380,418
2083,380,418
2084,380,418
2085,380,418
2086,380,418
2087,380,418
2088,380,418
2089,12,19
2090,12,19
2091,12,19
2092,96,202
2093,96,202
2094,168,215
2095,100,197
2096,183,222
2097,106,205
2098,106,205
2099,106,205
2100,5,251
2101,5,251
2102,5,251
2103,398,158
2104,398,158
2105,398,158
2106,82,429
2107,82,429
2108,82,429
2109,82,429
2110,82,429
2111,82,429
2112,82,429
2113,82,429
2114,82,429
2115,82,429
2116,82,429
2117,82,429
2118,82,429
2119,82,429
2120,82,429
2121,82,429
2122,82,429
2123,82,429
2124,82,429
2125,82,429
